School_ID,Name_of_School,Elementary_Middle_High_School,CPS_Performance_Policy_Status,CPS_Performance_Policy_Level,Family_Involvement_Score,Parent_Engagement_Score,Average_Student_Attence,Rate_of_Misconducts,Average_Teacher_Attence,Students_Taking_Algebra,Students_Passing_Algebra,X9_Grade_Explore_2009,X9_Grade_Explore_2010,X10_Grade_Plan_2009,X10_Grade_Plan_2010,X11_Grade_Average_ACT_2011,Net_Change_EXPLORE_PLAN,Net_Change_PLAN_ACT,College_Eligibility,Graduation_Rate,College_Enrollment_Rate,College_Enrollment,Freshman_on_Track_Rate,Probation
610174,James Shields Elementary School,ES,Not on Probation,Level 2,,50,97,13.9,97,,,,,,,,,,,,,1834,,0
609745,Southside Occupational Academy High School,HS,Not Applicable,Not Enough Data,52,63,85.5,13.1,95.2,,,,,,,,,,40,71.7,,201,,0
609885,Dewey Elementary Academy of Fine Arts,ES,Probation,Level 3,,52,90.7,26.3,95.5,,,,,,,,,,,,,357,,1
610103,Isabelle C O'Keeffe Elementary School,ES,Probation,Level 3,,40,92.1,24.6,94.6,17.9,,,,,,,,,,,,575,,1
609819,Edmond Burke Elementary School,ES,Probation,Level 3,,48,89.3,82,95.5,,,,,,,,,,,,,244,,1
609944,Virgil Grissom Elementary School,ES,Not on Probation,Level 2,66,,95.5,2.5,96.4,,,,,,,,,,,,,330,,0
609817,Lyman A Budlong Elementary School,ES,Not on Probation,Level 2,56,50,95.4,3.9,95.7,48.1,16,,,,,,,,,,,864,,0
609754,Chicago Military Academy High School,HS,Not on Probation,Level 2,,,90.3,28.2,95.6,,,14.8,14.4,15.2,15.6,17.4,0.8,2.2,24.4,83.6,69.3,483,88.1,0
609872,Manuel Perez Elementary School,ES,Not on Probation,Level 1,,52,95.9,7.3,96.6,35.6,18.8,,,,,,,,,,,426,,0
610534,Skinner North,ES,Not on Probation,Not Enough Data,,64,96.4,0,97.8,,,,,,,,,,,,,242,,0
610543,Eric Solorio Academy High School,HS,Not on Probation,Not Enough Data,54,53,92.2,3,0,,,,13.9,,,,,,,,,581,85.6,0
609692,Neal F Simeon Career Academy High School,HS,Probation,Level 3,,,78.6,2.1,94.3,,,14.3,14.1,15.3,14.8,16.2,0.5,0.9,14.8,75.2,74,1535,68.5,1
609694,John Hancock College Preparatory High School,HS,Probation,Level 3,44,50,78.2,7.5,95.9,,,14.6,13.8,14.7,15,15.8,0.4,1.1,22.6,56.1,45.9,967,87.4,1
610039,Carl von Linne Elementary School,ES,Not on Probation,Level 1,49,50,95.8,1.8,96.3,48.2,24,,,,,,,,,,,644,,0
609861,Henry R Clissold Elementary School,ES,Not on Probation,Level 2,61,52,95.1,8.4,96.9,42.2,44.4,,,,,,,,,,,588,,0
610199,Johnnie Colemon Elementary Academy,ES,Not on Probation,Level 2,,53,95.9,23.4,95.4,,,,,,,,,,,,,266,,0
609695,Roald Amundsen High School,HS,Probation,Level 3,44,43,81.1,8.7,95.9,,,13.8,13.9,14.9,14.8,16.7,1,1.8,16,64.6,49.1,1532,72.2,1
609708,Edwin G Foreman High School,HS,Probation,Level 3,,,84.3,10.3,94.8,,,13,12.7,14.1,13.7,15.3,0.7,1.2,12.5,59.7,40.9,1716,75.6,1
610231,National Teachers Elementary Academy,ES,Not on Probation,Level 1,70,56,94.7,9.2,96.3,,,,,,,,,,,,,446,,0
609790,Clara Barton Elementary School,ES,Probation,Level 3,42,51,91.7,25.3,96.4,60,3.8,,,,,,,,,,,602,,1
609913,Elaine O Goodlow Elementary Magnet School,ES,Probation,Level 3,42,46,91.6,47.5,96,,,,,,,,,,,,,419,,1
609950,Josefa Ortiz De Dominguez Elementary School,ES,,,69,51,95.8,3.6,97,,,,,,,,,,,,,793,,0
610254,Dvorak Technology Academy,ES,Probation,Level 3,22,,94.2,4.4,95.4,20.3,16.7,,,,,,,,,,,556,,1
610070,James B McPherson Elementary School,ES,Not on Probation,Level 2,,52,96.5,1.2,96.3,,,,,,,,,,,,,695,,0
609676,Paul Laurence Dunbar Career Academy High School,HS,Probation,Level 3,57,,76.9,21.5,96,,,12.8,12.7,13.9,13.8,14.7,1,0.8,6.9,61.7,51.5,1456,65.7,1
610281,Adam Clayton Powell Paideia Community Academy Elementary School,ES,Not on Probation,Level 1,66,46,95.6,15.7,95.3,17.2,27.3,,,,,,,,,,,521,,0
610216,John A Walsh Elementary School,ES,Not on Probation,Level 2,,48,95.1,2.9,95.3,40,42.9,,,,,,,,,,,501,,0
610220,Thomas J Waters Elementary School,ES,Not on Probation,Level 1,,52,96.1,0.4,95.1,,,,,,,,,,,,,590,,0
609978,Wendell Smith Elementary School,ES,Probation,Level 3,24,42,92.1,90,94.1,,,,,,,,,,,,,363,,1
610043,Joseph Lovett Elementary School,ES,Probation,Level 2,,49,95.4,16.1,95.4,,,,,,,,,,,,,490,,1
609732,Charles P Steinmetz Academic Centre High School,HS,Probation,Level 3,35,,79.2,30.4,96.2,,,13,13.8,13.8,14.3,16.1,1.3,2.3,16.3,56.7,47,1890,70.3,1
609741,Gurdon S Hubbard High School,HS,Not on Probation,Level 2,,,89.3,4.3,96.4,,,14.4,14.2,15.3,15.3,17.3,0.9,2,30.1,57.2,51.3,1672,64.5,0
610242,Joseph Brennemann Elementary School,ES,Not on Probation,Level 1,56,53,96.5,13.7,97.7,,,,,,,,,,,,,362,,0
610180,John M Smyth Elementary School,ES,Probation,Level 3,,43,92.4,20.1,93.3,,,,,,,,,,,,,475,,1
610078,Inter-American Elementary Magnet School,ES,Not on Probation,Level 1,,51,96.2,3,96.2,32.1,83.3,,,,,,,,,,,690,,0
610234,Richard Yates Elementary School,ES,Probation,Level 3,,51,93.7,5.6,96.2,28.6,77.8,,,,,,,,,,,690,,1
609720,Albert G Lane Technical High School,HS,Not on Probation,Level 1,,,96.3,2.1,96.2,,,19.1,19.5,19.9,20.1,23.4,1,3.5,67.9,92.2,79.8,4368,90.7,0
610074,James Monroe Elementary School,ES,Probation,Level 2,,47,95.1,22.1,95.8,,,,,,,,,,,,,1125,,1
609729,Carl Schurz High School,HS,Probation,Level 3,36,,81.2,13.8,96,,,13.1,12.9,14.3,14,15.6,0.9,1.3,9.7,62.1,40.4,2366,61.6,1
610208,Mildred I Lavizzo Elementary School,ES,Probation,Level 3,35,48,91.5,39.1,95,,,,,,,,,,,,,394,,1
609736,Dyett High School,HS,Probation,Level 3,18,,62.5,24.4,93.5,,,11.6,11.7,13,12.9,14,1.3,1,3.3,33.7,51,318,37.1,1
610504,Velma F Thomas Early Childhood Center,ES,,,,55,,0,95.6,,,,,,,,,,,,,211,,0
610304,Phoenix Military Academy High School,HS,Not on Probation,Level 1,,52,92.1,4.3,97.4,,,14.7,14.9,15.9,15.9,18.6,1.2,2.7,33.9,74.8,51.3,461,74.1,0
609829,John C Burroughs Elementary School,ES,Not on Probation,Level 2,55,50,95.6,0.2,96.1,42.2,21.1,,,,,,,,,,,510,,0
610224,West Pullman Elementary School,ES,Probation,Level 3,46,47,91.2,7.6,93.8,,,,,,,,,,,,,343,,1
610136,William H Prescott Elementary School,ES,Not on Probation,Level 2,,50,93.5,73.9,97.6,,,,,,,,,,,,,240,,0
609674,Chicago Vocational Career Academy High School,HS,Probation,Level 3,43,,68.8,33.3,94.6,,,12.5,12.6,13.8,13.2,14.3,0.7,0.5,7,49.5,54,833,44.1,1
610187,Graeme Stewart Elementary School,ES,Probation,Level 2,,47,95.2,77,96.1,30.4,,,,,,,,,,,,280,,1
609830,Milton Brunson Math & Science Specialty Elementary School ,ES,Probation,Level 3,,47,91.3,16.6,95,,,,,,,,,,,,,658,,1
610279,Henry O Tanner Elementary School,ES,Probation,Level 3,,,91.8,43.1,95.6,,,,,,,,,,,,,448,,1
610355,Mary E Courtenay Elementary Language Arts Center,ES,Not on Probation,Level 2,,59,94.9,10.8,94.2,19,,,,,,,,,,,,257,,0
610299,William A Hinton Elementary School,ES,Probation,Level 3,,45,91.7,28.9,95.1,,,,,,,,,,,,,321,,1
610223,Daniel S Wentworth Elementary School,ES,Probation,Level 3,32,,91.6,73.8,95.9,,,,,,,,,,,,,365,,1
610036,Leslie Lewis Elementary School,ES,Probation,Level 3,37,42,91.8,37.7,95.3,,,,,,,,,,,,,565,,1
609828,Jonathan Burr Elementary School,ES,Not on Probation,Level 1,66,56,95.9,4.3,96.9,,,,,,,,,,,,,348,,0
610031,Jean D Lafayette Elementary School,ES,Probation,Level 3,53,52,94.1,14.3,96.3,,,,,,,,,,,,,474,,1
610205,Lyman Trumbull Elementary School,ES,Probation,Level 3,,50,94.3,17.8,95.2,,,,,,,,,,,,,438,,1
610229,A.N. Pritzker School,ES,Not on Probation,Level 1,,,94.6,36.5,95.6,,,,,,,,,,,,,669,,0
610287,Ashburn Community Elementary School,ES,Not on Probation,Level 2,76,51,95.5,28.5,97.1,40.8,40,,,,,,,,,,,490,,0
609924,Fort Dearborn Elementary School,ES,Not on Probation,Level 2,,47,93.4,24.5,95.9,,,,,,,,,,,,,478,,0
610172,William T Sherman Elementary School,ES,Probation,Level 3,,49,92.3,230.6,95,,,,,,,,,,,,,462,,1
609960,Nathan Hale Elementary School,ES,Not on Probation,Level 2,63,55,94.5,9.8,96.2,,,,,,,,,,,,,872,,0
